INPUDIRECTION;INPUTTRANSDUCER;OUTPUTFILE;PROBEWIDTH
9.375 -22.5 80.0 9.375 -22.35 80.0 9.375 -22.200000000000003 80.0 9.375 -22.050000000000004 80.0 ;9.375 -22.5 157.0 9.375 -22.35 157.0 9.375 -22.200000000000003 157.0 9.375 -22.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_3.imf;18.75
28.125 -22.5 80.0 28.125 -22.35 80.0 28.125 -22.200000000000003 80.0 28.125 -22.050000000000004 80.0 ;28.125 -22.5 157.0 28.125 -22.35 157.0 28.125 -22.200000000000003 157.0 28.125 -22.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_3.imf;18.75
46.875 -22.5 80.0 46.875 -22.35 80.0 46.875 -22.200000000000003 80.0 46.875 -22.050000000000004 80.0 ;46.875 -22.5 157.0 46.875 -22.35 157.0 46.875 -22.200000000000003 157.0 46.875 -22.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_3.imf;18.75
65.625 -22.5 80.0 65.625 -22.35 80.0 65.625 -22.200000000000003 80.0 65.625 -22.050000000000004 80.0 ;65.625 -22.5 157.0 65.625 -22.35 157.0 65.625 -22.200000000000003 157.0 65.625 -22.050000000000004 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_3.imf;18.75
-65.625 -7.5 80.0 -65.625 -7.350000000000001 80.0 -65.625 -7.200000000000003 80.0 -65.625 -7.049999999999997 80.0 ;-65.625 -7.5 157.0 -65.625 -7.350000000000001 157.0 -65.625 -7.200000000000003 157.0 -65.625 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_4.imf;18.75
-46.875 -7.5 80.0 -46.875 -7.350000000000001 80.0 -46.875 -7.200000000000003 80.0 -46.875 -7.049999999999997 80.0 ;-46.875 -7.5 157.0 -46.875 -7.350000000000001 157.0 -46.875 -7.200000000000003 157.0 -46.875 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_4.imf;18.75
-28.125 -7.5 80.0 -28.125 -7.350000000000001 80.0 -28.125 -7.200000000000003 80.0 -28.125 -7.049999999999997 80.0 ;-28.125 -7.5 157.0 -28.125 -7.350000000000001 157.0 -28.125 -7.200000000000003 157.0 -28.125 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_2_4.imf;18.75
-9.375 -7.5 80.0 -9.375 -7.350000000000001 80.0 -9.375 -7.200000000000003 80.0 -9.375 -7.049999999999997 80.0 ;-9.375 -7.5 157.0 -9.375 -7.350000000000001 157.0 -9.375 -7.200000000000003 157.0 -9.375 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_3_4.imf;18.75
9.375 -7.5 80.0 9.375 -7.350000000000001 80.0 9.375 -7.200000000000003 80.0 9.375 -7.049999999999997 80.0 ;9.375 -7.5 157.0 9.375 -7.350000000000001 157.0 9.375 -7.200000000000003 157.0 9.375 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_4_4.imf;18.75
28.125 -7.5 80.0 28.125 -7.350000000000001 80.0 28.125 -7.200000000000003 80.0 28.125 -7.049999999999997 80.0 ;28.125 -7.5 157.0 28.125 -7.350000000000001 157.0 28.125 -7.200000000000003 157.0 28.125 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_5_4.imf;18.75
46.875 -7.5 80.0 46.875 -7.350000000000001 80.0 46.875 -7.200000000000003 80.0 46.875 -7.049999999999997 80.0 ;46.875 -7.5 157.0 46.875 -7.350000000000001 157.0 46.875 -7.200000000000003 157.0 46.875 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_6_4.imf;18.75
65.625 -7.5 80.0 65.625 -7.350000000000001 80.0 65.625 -7.200000000000003 80.0 65.625 -7.049999999999997 80.0 ;65.625 -7.5 157.0 65.625 -7.350000000000001 157.0 65.625 -7.200000000000003 157.0 65.625 -7.049999999999997 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_7_4.imf;18.75
-65.625 7.5 80.0 -65.625 7.6499999999999915 80.0 -65.625 7.799999999999997 80.0 -65.625 7.950000000000003 80.0 ;-65.625 7.5 157.0 -65.625 7.6499999999999915 157.0 -65.625 7.799999999999997 157.0 -65.625 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_0_5.imf;18.75
-46.875 7.5 80.0 -46.875 7.6499999999999915 80.0 -46.875 7.799999999999997 80.0 -46.875 7.950000000000003 80.0 ;-46.875 7.5 157.0 -46.875 7.6499999999999915 157.0 -46.875 7.799999999999997 157.0 -46.875 7.950000000000003 157.0 ;results/two_beams_nonparallel_soft_tissue/general/sweeps/simulated_sweep_dims8106_pose0_1_5.imf;18.75
